#January
1,8120
2,18235
3,8125
4,8275
5,8530
6,8360
7,8595
8,8050
9,18025
10,8920
11,8280
12,8450
13,8180
14,8030
15,8535
16,8855
17,8410
18,8095
19,10480
20,8205
21,8085
22,8005
23,8260
24,8925
25,8485
26,8520
27,8350
28,8185
29,8225
30,8325
31,8460
#February
32,8180
33,8175
34,8550
35,8030
36,10000
37,8065
38,10035
39,8080
40,8255
41,8110
42,8390
43,8400
44,8450
45,8120
46,8255
47,8655
48,8115
49,10400
50,8085
51,8550
52,8415
53,12500
54,8435
55,8070
56,8465
57,8650
58,10190
#March
59,8355
60,8080
61,8565
62,8385
63,8275
64,8355
65,8150
66,8065
67,10035
68,8190
69,8485
70,8150
71,8565
72,12650
73,8120
74,8325
75,8650
76,8105
77,8520
78,8285
79,8250
80,8055
81,8655
82,8330
83,8280
84,8550
85,8555
86,8535
87,8660
88,8005
89,8120
#April
90,8355
91,8040
92,8280
93,8220
94,8330
95,8650
96,8175
97,8100
98,8085
99,8155
100,8095
101,8550
102,8325
103,8125
104,8250
105,8085
106,8460
107,8120
108,8380
109,8650
110,8435
111,8120
112,8125
113,8035
114,8055
115,8100
116,8090
117,8055
118,8655
119,8030
#May
120,8425
121,8070
122,8125
123,8050
124,8355
125,8095
126,8450
127,8080
128,8130
129,8005
130,8520
131,8550
132,8140
133,8180
134,8005
135,8180
136,8130
137,8265
138,8325
139,8455
140,8250
141,8455
142,8260
143,8580
144,8220
145,8080
146,8035
147,8275
148,8105
149,8030
150,8035
#June
151,8035
152,8260
153,8205
154,8330
155,8600
156,8435
157,8485
158,8250
159,8550
160,8085
161,8165
162,8105
163,8520
164,8535
165,8655
166,8260
167,8050
168,8145
169,8330
170,8125
171,8080
172,8280
173,8065
174,8175
175,8235
176,8385
177,8155
178,8060
179,8255
180,8160
#July
181,8085
182,8120
183,8035
184,8105
185,8220
186,8030
187,8035
188,8190
189,8175
190,8155
191,8130
192,8050
193,8650
194,8125
195,8485
196,8205
197,8265
198,8180
199,8080
200,8365
201,8565
202,8150
203,8120
204,8250
205,8150
206,8195
207,8460
208,8175
209,8100
210,8055
#August
211,8535
212,8650
213,8030
214,8360
215,8080
216,8650
217,8385
218,8325
219,8035
220,8225
221,8030
222,8465
223,8060
224,8250
225,8265
226,8120
227,8260
228,8085
229,8335
230,8420
231,8050
232,8550
233,8035
234,8250
235,8060
236,8325
237,8550
238,8130
239,8080
240,8130
#September
241,8125
242,8100
243,8250
244,8220
245,8265
246,8055
247,8330
248,8365
249,8205
250,8255
251,8155
252,8030
253,8085
254,8145
255,8180
256,8265
257,8650
258,8125
259,8080
260,8180
261,8130
262,8255
263,8085
264,8130
265,8030
266,8360
267,8175
268,8655
269,8195
270,8250
#October
271,8120
272,8085
273,8130
274,8085
275,8025
276,8085
277,8180
278,8330
279,8650
280,8650
281,8285
282,8180
283,8035
284,8250
285,8050
286,8080
287,8030
288,8160
289,8130
290,8035
291,8055
292,8365
293,8080
294,8650
295,8120
296,8250
297,8455
298,10125
299,10260
300,10190
301,10550
#November
302,8125
303,8100
304,8250
305,8220
306,8265
307,8055
308,8330
309,8365
310,10000
311,8255
312,8155
313,8030
314,8085
315,8145
316,8180
317,8265
318,8650
319,8125
259,8080
320,8180
321,8130
322,8255
323,8085
324,8130
325,8030
326,8360
327,8175
328,8655
329,8195
330,8250
#December
331,8125
332,8100
333,8250
334,8220
335,8265
336,8055
337,8330
338,8365
339,8205
340,8255
341,8155
342,8030
343,8085
344,8145
345,8180
346,8265
347,8650
348,10430
349,8080
350,8180
351,8130
352,8255
353,8085
354,8130
355,8030
356,8360
357,8175
358,8655
359,8195
360,8250
